row_id,sample_id,R,N,T_K,sigma_S_cm,rb_ohm,thickness_cm,area_cm2,ea_reported_eV,r2_reported,arc_visible,semicircle_visible,source_file,notes
0,S8-2-1-1,1.0408163265306123,4.656000000000001,198.15,1.4339844005231452e-06,21351.234617539285,0.12,3.919348,1.171877358978562,0.95,False,False,300-120K 3K-min,
1,S8-2-1-1,1.0408163265306123,4.656000000000001,208.15,3.877514762111271e-05,789.6124,0.12,3.919348,1.171877358978562,0.8998973878273878,False,False,300-120K 3K-min,
2,S8-2-1-1,1.0408163265306123,4.656000000000001,216.15,0.0001655376867446,184.9569,0.12,3.919348,1.171877358978562,0.8999662039534728,False,False,300-120K 3K-min,
3,S8-2-1-1,1.0408163265306123,4.656000000000001,224.15,0.000451965860106,67.74258871295915,0.12,3.919348,0.4139653363243663,0.95,False,False,300-120K 3K-min,
4,S8-2-1-1,1.0408163265306123,4.656000000000001,233.15,0.0009890818523789,30.95531203997056,0.12,3.919348,0.4139653363243663,0.95,False,False,300-120K 3K-min,
5,S8-2-1-1,1.0408163265306123,4.656000000000001,241.15,0.001879242505248,16.292382323174355,0.12,3.919348,0.4139653363243663,0.95,False,False,300-120K 3K-min,
6,S8-2-1-1,1.0408163265306123,4.656000000000001,249.15,0.0032443066954399,9.43725123660344,0.12,3.919348,0.4139653363243663,0.95,False,False,300-120K 3K-min,
7,S8-2-1-1,1.0408163265306123,4.656000000000001,258.15,0.0051197141234118,5.980282616455415,0.12,3.919348,0.1505869487750941,0.95,False,False,300-120K 3K-min,
8,S8-2-1-1,1.0408163265306123,4.656000000000001,266.15,0.0073416234755422,4.170376957557001,0.12,3.919348,0.1505869487750941,0.95,False,False,300-120K 3K-min,
9,S8-2-1-1,1.0408163265306123,4.656000000000001,273.15,0.0095312526256843,3.212309921463524,0.12,3.919348,0.1505869487750941,0.95,False,False,300-120K 3K-min,
10,S8-2-1-1,1.0408163265306123,4.656000000000001,282.15,0.0113758117870059,2.6914419776559533,0.12,3.919348,0.1505869487750941,0.95,False,False,300-120K 3K-min,
11,S8-2-1-1,1.0408163265306123,4.656000000000001,291.15,0.0126340830562866,2.423392124070769,0.12,3.919348,0.1505869487750941,0.95,False,False,300-120K 3K-min,
12,S8-2-1-1,1.0408163265306123,4.656000000000001,299.15,0.0131120435714751,2.335054578377714,0.12,3.919348,0.1505869487750941,0.95,False,False,300-120K 3K-min,
13,S8-2-1-2,1.0408163265306123,4.656000000000001,199.15,2.3567298010199856e-06,12991.45,0.12,3.919348,1.0114213753919017,0.8989759519792138,False,False,300-120K 3K-min,
14,S8-2-1-2,1.0408163265306123,4.656000000000001,209.15,3.946020825700122e-05,775.9041,0.12,3.919348,1.0114213753919017,0.8998888150365754,False,False,300-120K 3K-min,
15,S8-2-1-2,1.0408163265306123,4.656000000000001,217.15,0.0001662823557745,184.1286,0.12,3.919348,0.3845939516560927,0.8999667780944121,False,False,300-120K 3K-min,
16,S8-2-1-2,1.0408163265306123,4.656000000000001,225.15,0.0004339402506934,70.55657391664471,0.12,3.919348,0.3845939516560927,0.95,False,False,300-120K 3K-min,
17,S8-2-1-2,1.0408163265306123,4.656000000000001,233.15,0.000919749499264,33.288778518456255,0.12,3.919348,0.3845939516560927,0.95,False,False,300-120K 3K-min,
18,S8-2-1-2,1.0408163265306123,4.656000000000001,242.15,0.0017195256725844,17.80568784846542,0.12,3.919348,0.3845939516560927,0.95,False,False,300-120K 3K-min,
19,S8-2-1-2,1.0408163265306123,4.656000000000001,250.15,0.002922407160315,10.476752791065868,0.12,3.919348,0.3845939516560927,0.95,False,False,300-120K 3K-min,
20,S8-2-1-2,1.0408163265306123,4.656000000000001,258.15,0.0045431855562311,6.739178269192244,0.12,3.919348,0.3845939516560927,0.95,False,False,300-120K 3K-min,
21,S8-2-1-2,1.0408163265306123,4.656000000000001,267.15,0.0063588127710893,4.814945568560289,0.12,3.919348,0.1067415330674011,0.95,False,False,300-120K 3K-min,
22,S8-2-1-2,1.0408163265306123,4.656000000000001,274.15,0.0080713768741223,3.793322731791068,0.12,3.919348,0.1067415330674011,0.95,False,False,300-120K 3K-min,
23,S8-2-1-2,1.0408163265306123,4.656000000000001,283.15,0.0094212205284917,3.2498270559390847,0.12,3.919348,0.1067415330674011,0.95,False,False,300-120K 3K-min,
24,S8-2-1-2,1.0408163265306123,4.656000000000001,291.15,0.0101193179752569,3.025632502933955,0.12,3.919348,0.1067415330674011,0.95,False,False,300-120K 3K-min,
25,S8-2-1-2,1.0408163265306123,4.656000000000001,299.15,0.0106107520067716,2.8855011740847,0.12,3.919348,0.1067415330674011,0.95,False,False,300-120K 3K-min,
26,S8-2-2-1,1.040816326530612,4.1386666666666665,208.15,1.4610227043203676e-05,2095.6099643710563,0.12,3.919348,0.3139665207649121,0.95,False,False,300-120K 3K-min,
27,S8-2-2-1,1.040816326530612,4.1386666666666665,217.15,0.0001021658486574,299.6827,0.12,3.919348,0.3139665207649121,0.8999716276406652,False,False,300-120K 3K-min,
28,S8-2-2-1,1.040816326530612,4.1386666666666665,225.15,0.0003371251500487,90.81890618078776,0.12,3.919348,0.3139665207649121,0.95,False,False,300-120K 3K-min,
29,S8-2-2-1,1.040816326530612,4.1386666666666665,233.15,0.0007803552793136,39.2351255704826,0.12,3.919348,0.3139665207649121,0.95,False,False,300-120K 3K-min,
30,S8-2-2-1,1.040816326530612,4.1386666666666665,241.15,0.0015622958487453,19.59765648615708,0.12,3.919348,0.3139665207649121,0.95,False,False,300-120K 3K-min,
31,S8-2-2-1,1.040816326530612,4.1386666666666665,250.15,0.0025468145090881,12.021816769224897,0.12,3.919348,0.3139665207649121,0.95,False,False,300-120K 3K-min,
32,S8-2-2-1,1.040816326530612,4.1386666666666665,258.15,0.0023683203322326,12.92787,0.12,3.919348,0.3139665207649121,0.8999764893660428,False,False,300-120K 3K-min,
33,S8-2-2-1,1.040816326530612,4.1386666666666665,266.15,0.0014052824015739,21.78732,0.12,3.919348,0.3139665207649121,0.8999030575031831,False,False,300-120K 3K-min,
