segment_id,sample_id,T_min_K,T_max_K,n_points,segment_label,arrhenius_ea_eV,arrhenius_ln_sigma0,arrhenius_r2,arrhenius_aic,vtf_params,vtf_aic,piecewise_model_params,quality_flags
S8-2-1-1::single,S8-2-1-1,198.15,299.15,13,single,0.40976177158028615,12.696687454189286,0.8938993833322311,1.0668100675283234,{},,{},[]
S8-2-1-1::piecewise_low,S8-2-1-1,198.15,224.15,4,piecewise_low,0.8484239002057701,36.61004627453129,,,{},,{'T_break_K': 233.15},[]
S8-2-1-1::piecewise_high,S8-2-1-1,233.15,299.15,9,piecewise_high,0.2373800901381144,5.209210038952203,,,{},,{'T_break_K': 233.15},[]
S8-2-1-1::vtf,S8-2-1-1,198.15,299.15,13,vtf,,,,,"{'B': 313.2641306576327, 'T0': 171.41852836093605, 'ln_sigma0': -1.7143695771874974}",-54.6129749880348,{},[]
S8-2-1-2::single,S8-2-1-2,199.15,299.15,13,single,0.3899799168277823,11.639606507750623,0.9007837117852501,-1.5165311995899045,{},,{},[]
S8-2-1-2::piecewise_low,S8-2-1-2,199.15,225.15,4,piecewise_low,0.779537413965461,32.74246589896421,,,{},,{'T_break_K': 233.15},[]
S8-2-1-2::piecewise_high,S8-2-1-2,233.15,299.15,9,piecewise_high,0.22520137136724375,4.506686877363435,,,{},,{'T_break_K': 233.15},[]
S8-2-1-2::vtf,S8-2-1-2,199.15,299.15,13,vtf,,,,,"{'B': 317.94695203871083, 'T0': 170.51612633979832, 'ln_sigma0': -1.8781334635853058}",-55.19986625766056,{},[]
S8-2-2-1::single,S8-2-2-1,208.15,299.15,12,single,0.3139829100831941,7.71139367403499,0.8354183348262552,-2.097063379975599,{},,{},[]
S8-2-2-1::piecewise_low,S8-2-2-1,208.15,258.15,7,piecewise_low,0.47398374188908565,15.989451415613319,,,{},,{'T_break_K': 266.15},[]
S8-2-2-1::piecewise_high,S8-2-2-1,266.15,299.15,5,piecewise_high,0.5173237294456066,15.686978532920424,,,{},,{'T_break_K': 266.15},[]
S8-2-2-1::vtf,S8-2-2-1,208.15,299.15,12,vtf,,,,,"{'B': 190.45038745770725, 'T0': 183.15680203099745, 'ln_sigma0': -3.4988017201828794}",-6.655852633801576,{},[]
S8-2-2-2::single,S8-2-2-2,216.15,299.15,11,single,0.4239524414304248,12.49115402750795,0.9280977848732868,-7.677531134861223,{},,{},[]
S8-2-2-2::piecewise_low,S8-2-2-2,216.15,242.15,4,piecewise_low,0.7232734743643132,27.603679905116252,,,{},,{'T_break_K': 250.15},[]
S8-2-2-2::piecewise_high,S8-2-2-2,250.15,299.15,7,piecewise_high,0.2584257157465508,5.5064209181247525,,,{},,{'T_break_K': 250.15},[]
S8-2-2-2::vtf,S8-2-2-2,216.15,299.15,11,vtf,,,,,"{'B': 310.9742330183779, 'T0': 183.577187867826, 'ln_sigma0': -1.9233167161163602}",-53.044599598493654,{},[]
S8-3-1-1::single,S8-3-1-1,190.15,273.15,11,single,0.3768685650050093,12.030279826832517,0.8913463206337368,-0.28913590952981405,{},,{},[]
S8-3-1-1::piecewise_low,S8-3-1-1,190.15,216.15,4,piecewise_low,0.7380019358229122,32.74893919626021,,,{},,{'T_break_K': 224.15},[]
S8-3-1-1::piecewise_high,S8-3-1-1,224.15,273.15,7,piecewise_high,0.2472710951176114,5.939115417551493,,,{},,{'T_break_K': 224.15},[]
S8-3-1-1::vtf,S8-3-1-1,190.15,273.15,11,vtf,,,,,"{'B': 212.1153096959088, 'T0': 168.7605202350327, 'ln_sigma0': -2.8370801672021195}",-22.1489274739006,{},[]
S8-3-1-2::single,S8-3-1-2,215.15,299.15,30,single,0.3502876055158288,9.545963333720605,0.9416599001734315,-54.4141275710501,{},,{},[]
S8-3-1-2::piecewise_low,S8-3-1-2,215.15,242.15,9,piecewise_low,0.5860143854862323,21.351006975199212,,,{},,{'T_break_K': 245.15},[]
S8-3-1-2::piecewise_high,S8-3-1-2,245.15,299.15,21,piecewise_high,0.2392419630295509,4.843157116790929,,,{},,{'T_break_K': 245.15},[]
S8-3-1-2::vtf,S8-3-1-2,215.15,299.15,30,vtf,,,,,"{'B': 315.37978139645315, 'T0': 178.6772124082458, 'ln_sigma0': -1.9162230709080939}",-169.49932902338483,{},[]
S8-3-10-1::single,S8-3-10-1,193.15,299.15,38,single,0.3452484141905504,10.265136391901505,0.9015115538638362,-23.84711718818904,{},,{},[]
S8-3-10-1::piecewise_low,S8-3-10-1,193.15,224.15,11,piecewise_low,0.679578816227188,28.57794954841284,,,{},,{'T_break_K': 227.15},[]
S8-3-10-1::piecewise_high,S8-3-10-1,227.15,299.15,27,piecewise_high,0.1999488742265126,3.905760377138481,,,{},,{'T_break_K': 227.15},[]
S8-3-10-1::vtf,S8-3-10-1,193.15,299.15,38,vtf,,,,,"{'B': 314.1036756908032, 'T0': 165.3763126141627, 'ln_sigma0': -1.6035237126875055}",-181.01944136024488,{},[]
S8-3-11-1::single,S8-3-11-1,208.15,299.15,94,single,0.5324106993208181,16.225463428318896,0.9576408903961128,-138.83435067585268,{},,{},[]
S8-3-11-1::piecewise_low,S8-3-11-1,208.15,242.15,24,piecewise_low,0.847276830900301,31.994044159803277,,,{},,{'T_break_K': 243.15},[]
S8-3-11-1::piecewise_high,S8-3-11-1,243.15,299.15,70,piecewise_high,0.39973366538905053,10.592306332412479,,,{},,{'T_break_K': 243.15},[]
S8-3-11-1::vtf,S8-3-11-1,208.15,299.15,94,vtf,,,,,"{'B': 695.5338948354179, 'T0': 165.1587251544385, 'ln_sigma0': 0.14147032564707174}",-523.3383294324192,{},[]
S8-3-11-2::single,S8-3-11-2,187.15,299.15,40,single,0.31604308873927867,9.091728319234571,0.898560601110431,-24.91274931605139,{},,{},[]
S8-3-11-2::piecewise_low,S8-3-11-2,187.15,221.15,12,piecewise_low,0.6125575020642409,25.661958295629752,,,{},,{'T_break_K': 224.15},[]
S8-3-11-2::piecewise_high,S8-3-11-2,224.15,299.15,28,piecewise_high,0.1763904584682818,2.940259248514868,,,{},,{'T_break_K': 224.15},[]
S8-3-11-2::vtf,S8-3-11-2,187.15,299.15,40,vtf,,,,,"{'B': 321.4939860419899, 'T0': 158.9251013364476, 'ln_sigma0': -1.6682433880554681}",-171.40027782277727,{},[]
S8-3-2-1::single,S8-3-2-1,212.15,299.15,31,single,0.44402311983441234,12.995802741779203,0.9525620627980301,-45.52779077780595,{},,{},[]
S8-3-2-1::piecewise_low,S8-3-2-1,212.15,239.15,9,piecewise_low,0.7339070965608697,27.699581704245887,,,{},,{'T_break_K': 242.15},[]
S8-3-2-1::piecewise_high,S8-3-2-1,242.15,299.15,22,piecewise_high,0.32034891733808524,7.73383790774207,,,{},,{'T_break_K': 242.15},[]
S8-3-2-1::vtf,S8-3-2-1,212.15,299.15,31,vtf,,,,,"{'B': 488.7985283685249, 'T0': 170.34066617074686, 'ln_sigma0': -1.0335672508792177}",-160.9162667466879,{},[]
