file,exists,size_bytes,sha256
recipe.json,True,282,13c6d3b1f434af70164509095876367c1f65632e637db2ff9d81de90c325ca72
round_status.json,True,833,6d22d9d20ab375bb0730e193ce897bf27a8b1cc036de5abbb3191779d7399d92
lab_execution_packet.json,True,1174,e661d96f89c3f466b1697ae95719386b841672d3cead8694ac27d873f0ccb443
lab_execution_sheet.md,True,1186,5e67530b72fc8fb52e3550d8e10a40baf3467e6ecc47210f7c774017a0206c35
material_calculation.csv,True,217,cf0e95909549605a3acaf56e8d06ff4c48755166920759e82a625cd51d240568
measurement_sequence_template.csv,True,1390,e3635df5f4e0197c2a2b64a7b8bd6bced3625154361b7a78ed369ffa87876aea
raw_data_manifest_template.csv,True,1903,ed0506d636d90aae999a54f20e38f6b7bfe0a4463c50efb549be4815b67eee4b
sample_label_sheet.csv,True,279,f1035cea1b4ab651351a722d48bc261945c0dc0078d21d3e2922b57611a82f1e
approval_form_to_sign.md,True,1637,58f83e025c41140efd8d24b5c578d29d10946455576190c12c32c60497c15c04
eis_acquisition_checklist.md,True,902,e3e62a32347ceb2535ec0b55a3cf3fb5d3d81286a7b8c5b17e0fd16a6e4acfab
chi_eis_preflight_gate.json,True,612,a28d6a1e64e5868105b84b994321637aa2466548b0e32c2640b25ffd3519ee55
human_approval_template.md,True,498,bf59d2862c5f44a22da7a1362ba62251f0c41cfe2c941aefd24dac1b7766ccde
result_intake_template.json,True,1166,9f1c6c7d40fcc409abe39fa55e2cf2f5d4a2f9836f531666d4800f60235a4c19
score_template.json,True,449,2789cd1168ac501da4ab72655d6f7f8f20d4ce730c87a8698d09ed15413af4aa
