file,exists,size_bytes,sha256
recipe.json,True,291,20e18f869b1f58a916da3800a1b96000ad426529cf5071918af00bfe0ab26961
round_status.json,True,833,972d808b1408db08ca7602106ebb6d2a9b23efce3fdc658897d923bbe312273c
lab_execution_packet.json,True,1265,43c46b45bd9e00d01e99597954fc945c1c94aa251c8d482d62f6703cd84de900
lab_execution_sheet.md,True,1195,65141cfe2bdbe60d03e175dde5feaee0a3ea474827574f06106959a7e39fd9ce
material_calculation.csv,True,217,8ed94e5188adb0dfeefb56aa3a8f76b8199b56221797addc49c45f5ac13cb42e
measurement_sequence_template.csv,True,1390,c3d10cf294f07b2717eb06b7ca5e7fd11b0b5a8d40e3d4658983b4f399ac68a3
raw_data_manifest_template.csv,True,1903,7dbd5ce23c14b7ec6ba1bc2d78654034914510d08b5113b6c89bf09e84c84275
sample_label_sheet.csv,True,279,7491b5ccfea958cb2c2a87ca940ba1fd124ae98834c3522825e2bd5b0165424c
approval_form_to_sign.md,True,1637,2e2487c999b01bacb15310ba4ea08271a1f4524434b16d3ab55d43f2029b87c5
eis_acquisition_checklist.md,True,902,fc01bf3698443a5f60ac1b44b5954a81aef81af6682e1875692a13ea74339b26
chi_eis_preflight_gate.json,True,612,6d2a80ac866752fbdc319b12a13f5e378bfcd6d4698afea3a430237f58a441c6
human_approval_template.md,True,498,789a83448924a4887368fa4f05cb91d4ab83949064d83c4a5fec69a8a60fd797
result_intake_template.json,True,1166,e0e34a45167275fa251fe454cbc89d166f5795badacbda615340a5b060c28b03
score_template.json,True,449,c6373a88e4ca86aad65610a6c49dab68117d796d6b8e6b8aa572fca1e68680a6
