sample_id,scan_dir,excel_id,R,N,L_cm,S_cm2,T,T_C,sigma,R2,rb_ohm,Ea,sigma0,ln_sigma0,T_break,T_arc,data_valid,R_high_freq_ohm,R_low_freq_ohm,delta_R_ohm,R_ratio,arc_diameter_ohm,median_zimag_ohm,arc_visible,semicircle_visible,semicircle_quality,characteristic_frequency,peak_neg_zimag_ohm,nyquist_peak_ratio,nyquist_rising_ratio,nyquist_falling_ratio,inv_T_1000,ln_sigma
S8-2-1-1,300-120K 3K-min,S8-2-1,1.0408163265306123,4.656000000000001,0.12,3.919348,198.14999999999998,-75.0,1.4339844005231452e-06,0.95,21351.234617539285,1.171877358978562,9.200531071439635e+23,55.178718346408495,254.67049407032292,,True,4409.134,72531.89,68122.756,16.450370979879494,68122.756,1055.863,False,False,0.6920593151966233,4.734848,4636.64,0.06806301260037102,0.5813953488372093,0.0,5.046681806712088,-13.455053694142286
S8-2-1-1,300-120K 3K-min,S8-2-1,1.0408163265306123,4.656000000000001,0.12,3.919348,208.14999999999998,-65.0,3.877514762111271e-05,0.8998973878273878,789.6124,1.171877358978562,9.200531071439635e+23,55.178718346408495,254.67049407032292,,True,616.0246,4409.489,3793.4644,7.157975509419591,3793.4644,54.91423,False,False,0.6418239213386757,4.734848,1891.619,0.4986521028113509,0.7209302325581395,0.0,4.804227720393947,-10.157731041788024
S8-2-1-1,300-120K 3K-min,S8-2-1,1.0408163265306123,4.656000000000001,0.12,3.919348,216.14999999999998,-57.0,0.00016553768674464753,0.8999662039534728,184.9569,1.171877358978562,9.200531071439635e+23,55.178718346408495,254.67049407032292,,True,170.1717,1775.379,1605.2073,10.432868684981111,1605.2073,40.63786,False,False,0.6044089196454564,4.734848,1315.23,0.8193521173246591,0.8372093023255814,0.0,4.626416840157298,-8.706311674600991
S8-2-1-1,300-120K 3K-min,S8-2-1,1.0408163265306123,4.656000000000001,0.12,3.919348,224.14999999999998,-49.0,0.00045196586010602224,0.95,67.74258871295915,0.41396533632436633,827825.1713163025,13.626557265319736,254.67049407032292,,True,66.33393,1339.71,1273.37607,20.19645149925536,1273.37607,32.11392,False,False,0.5977021899482269,4.734848,1116.545,0.8768383718723403,1.0,0.0,4.461298237787196,-7.701903911723521
S8-2-1-1,300-120K 3K-min,S8-2-1,1.0408163265306123,4.656000000000001,0.12,3.919348,233.14999999999998,-40.0,0.0009890818523789048,0.95,30.955312039970558,0.41396533632436633,827825.1713163025,13.626557265319736,254.67049407032292,,True,30.54517,1148.433,1117.88783,37.59785917053335,1117.88783,26.36174,False,False,0.5983438108753124,4.734848,974.059,0.8713387639258934,1.0,0.0,4.2890842805061125,-6.918733466996843
S8-2-1-1,300-120K 3K-min,S8-2-1,1.0408163265306123,4.656000000000001,0.12,3.919348,241.14999999999998,-32.0,0.0018792425052480426,0.95,16.292382323174355,0.41396533632436633,827825.1713163025,13.626557265319736,254.67049407032292,,True,15.93175,977.141,961.20925,61.33293580429017,961.20925,22.63975,False,False,0.5973582564531779,4.734848,845.6588,0.8797863732584753,1.0,0.0,4.146796599626788,-6.2768865060758605
S8-2-1-1,300-120K 3K-min,S8-2-1,1.0408163265306123,4.656000000000001,0.12,3.919348,249.14999999999998,-24.0,0.0032443066954399085,0.95,9.437251236603439,0.41396533632436633,827825.1713163025,13.626557265319736,254.67049407032292,,True,9.227367,809.2039,799.976533,87.69607841543531,799.976533,20.3261,False,False,0.5928407837016724,4.734848,734.7845,0.9185075682713796,1.0,0.0,4.013646397752359,-5.730853604830399
S8-2-1-1,300-120K 3K-min,S8-2-1,1.0408163265306123,4.656000000000001,0.12,3.919348,258.15,-15.0,0.00511971412341184,0.95,5.980282616455415,0.15058694877509418,5.076499100561286,1.6246218705821889,254.67049407032292,,True,5.857711,693.2654,687.407689,118.35090532803683,687.407689,18.783,False,False,0.5911006410539779,4.734848,641.6422,0.9334230766801898,1.0,0.0,3.873716831299632,-5.274656676760692
S8-2-1-1,300-120K 3K-min,S8-2-1,1.0408163265306123,4.656000000000001,0.12,3.919348,266.15,-7.0,0.007341623475542286,0.95,4.170376957557001,0.15058694877509418,5.076499100561286,1.6246218705821889,254.67049407032292,,True,4.099593,673.1796,669.080007,164.2064468350883,669.080007,17.58448,False,False,0.6020061562433346,4.734848,561.9919,0.8399472321999888,1.0,0.0,3.7572797294758598,-4.914195278858845
S8-2-1-1,300-120K 3K-min,S8-2-1,1.0408163265306123,4.656000000000001,0.12,3.919348,273.15,0.0,0.00953125262568435,0.95,3.2123099214635236,0.15058694877509418,5.076499100561286,1.6246218705821889,254.67049407032292,,True,3.169294,751.5723,748.403006,237.14186818894052,748.403006,16.64223,False,False,0.6204696785161408,4.734848,510.1777,0.6816884698616501,1.0,0.0,3.660992128866923,-4.6531791296928535
